,x,y
염창,37.560216,126.905894
신목동,37.557564,126.899753
선유도,37.583477,126.878551
국회의사당,37.578042,126.889863
샛강,37.582772,126.88531
노들,37.556496,126.918738
흑석,37.550638,126.9148
구반포,37.555717,126.915309
신반포,37.552456,126.919283
사평,37.554995,126.928968
신논현,37.555183,126.920953
언주,37.548479,126.91891
삼성중앙,37.548479,126.91891
봉은사,37.549726,126.914929
청라국제도시,37.550091,126.915945
운서,37.555059,126.920162
공항화물청사,37.55005,126.921264
인천국제공항,37.559499,126.907229
영종,37.566248,126.903395
양재시민의숲,37.545467,126.9555
김량장,37.561863,126.923245
운동장·송담대,37.559695,126.921725
고진,37.562042,126.9195
보평,37.562768,126.9226
둔전,37.563593,126.922269
전대·에버랜드,37.551283,126.9072
발곡,37.550136,126.90809
범골,37.548433,126.917825
초당,37.50376,127.009915
삼가,37.5053938,127.021345
시청·용인대,37.50919,127.020328
명지대,37.508673,127.019772
가락시장,37.505669,127.022012
종로3가,37.5059554,127.0213746
오금,37.497673,126.998499
동대문,37.50192985,126.9863158
동대문역사문화공원,37.503561,126.988747
충무로,37.485037,126.983666
서울,37.4771435,126.987064
신도림,37.4806982,126.999765
이촌,37.4796581,126.998435
왕십리,37.4868978,126.994397
시청,37.4833891,126.986703
교대,37.4777211,126.983717
신설동,37.477167,126.982209
강변,37.490691,126.99339
까치산,37.4874102,126.983524
을지로3가,37.4977192,126.990895
홍대입구,37.4955295,126.985613
광운대,37.4963619,126.984022
상봉,37.4909838,126.984045
망우,37.482743,127.014739
영등포구청,37.480353,127.007658
신길,37.4865,127.012911
을지로4가,37.4933246,127.0187824
합정,37.4951945,127.020788
공덕,37.4932295,127.021552
삼각지,37.495857,127.026973
약수,37.495952,127.028023
신당,37.486958,127.026998
동묘앞,37.490584,127.013382
석계,37.486186,127.01519
도봉산,37.485824,127.013426
불광,37.500098,127.025491
연신내,37.502058,127.024159
금정,37.498429,127.023952
수원,37.446185,127.05713
원인재,37.472048,127.039386
회기,37.48329,127.034388
대곡,37.483068,127.036565
디지털미디어시티,37.483528,127.038207
회룡,37.461167,127.0343214
판교,37.472131,127.048914
오이도,37.473785,127.042579
이매,37.461975,127.052218
선정릉,37.470943,127.024673
종합운동장,37.471824,127.026707
천호,37.505772,127.001214
창동,37.510772,127.019494
사당,37.511222,127.017407
노원,37.557009,127.043695
군자,37.55539336,127.0253734
건대입구,37.548451,127.01947
고속터미널,37.548142,127.0195978
총신대입구(이수),37.563648,127.0357573
대림,37.562827,127.034361
가산디지털단지,37.563972,127.0355689
온수,37.5681091,127.043625
부평구청,37.5603507,127.0490812
잠실,37.560786,127.045488
복정,37.536491,127.0575707
모란,37.548875,127.048282
부평,37.542509,127.0518608
당산,37.549189,127.056127
여의도,37.545261,127.0570452
동작,37.5365,127.059584
김포공항,37.54438,127.015497
강남,37.565225,127.0507965
양재,37.566508,127.0307144
정자,37.561055,127.0302616
강남구청,37.5602017,127.039466
선릉,37.5600772,127.0422154
효창공원앞,37.5600872,127.0402266
국제업무지구,37.494746,127.131939
강매,37.492723,127.1249
달월,37.496688,127.122109
원흥,37.496642,127.13654
완정,37.491931,127.144542
지평,37.499875,127.148798
석바위시장,37.488341,127.131951
상왕십리,37.480231,127.126962
한양대,37.485459,127.124606
뚝섬,37.485352,127.126008
성수,37.483402,127.114374
청계산입구,37.488584,127.115352
북한산우이,37.512021,127.12095
구의,37.51031,127.121151
잠실나루,37.512127,127.112776
잠실새내,37.510045,127.124833
